event_id,event_size_s,cpu_fraction,gpu_fraction,cpu_work_s,gpu_work_s,cpu_matrix_size,gpu_matrix_size,gpu_memory_mb,h2d_mb,d2h_mb,num_cpus,num_gpus,stage,gpu_async,start_time,end_time,runtime_s,cpu_start_time,cpu_end_time,cpu_runtime_s,gpu_start_time,gpu_end_time,gpu_runtime_s,merge_start_time,merge_end_time,merge_runtime_s,start_offset_s,end_offset_s
0,2.9257195226466877,0.6879061233490639,0.31209387665093613,2.0126203748305564,0.9130991478161311,726,1956,166,19,4,1.0,1.0,event,True,2016619.281935202,2016648.257046244,28.975111042149365,2016619.281935202,2016621.3044586,2.0225233980454504,2016629.650148,2016634.915312979,5.265164978802204,2016648.242109467,2016648.257046244,0.014936777064576745,3.587990067899227e-05,28.975146922050044
1,2.0419466603639473,0.35929446477665666,0.6407055352233433,0.733660132437946,1.3082865279260012,438,2342,333,27,6,1.0,1.0,event,True,2016621.330831703,2016648.321149082,26.990317378891632,2016621.330831703,2016622.064499055,0.7336673520039767,2016629.423355343,2016632.874419389,3.4510640460066497,2016648.311082171,2016648.321149082,0.010066910879686475,2.0489323809742928,29.039249759865925
2,2.3171527976758006,0.5791075973608366,0.4208924026391634,1.3418807893799736,0.9752720082958269,593,2022,139,20,5,1.0,1.0,event,True,2016622.065128197,2016648.219972547,26.15484434994869,2016622.065128197,2016623.407299187,1.3421709900721908,2016632.996708531,2016633.975220211,0.9785116801504046,2016648.209876253,2016648.219972547,0.01009629387408495,2.783228874905035,28.938073224853724
3,3.97322354640819,0.5600570524333142,0.43994294756668584,2.22523186806001,1.74799167834818,763,2707,334,37,9,1.0,1.0,event,True,2016623.407865422,2016648.351854991,24.943989568855613,2016623.407865422,2016625.633493665,2.225628242827952,2016633.977899519,2016635.732220329,1.7543208100832999,2016648.341763303,2016648.351854991,0.010091688018292189,4.125966100022197,29.06995566887781
4,3.8068920012873875,0.560379490542179,0.43962050945782105,2.1333042002305223,1.6735878010568652,747,2649,349,35,8,1.0,1.0,event,True,2016625.634763057,2016648.372400566,22.737637508893386,2016625.634763057,2016627.768382645,2.133619587868452,2016635.081696481,2016637.114420273,2.0327237921301275,2016648.36213046,2016648.372400566,0.010270105907693505,6.352863735053688,29.090501243947074
5,3.30629982521153,0.5525943722803434,0.44740562771965664,1.8270426764833743,1.4792571487281556,692,2490,298,31,7,1.0,1.0,event,True,2016627.769415217,2016648.209702173,20.440286956029013,2016627.769415217,2016629.599298292,1.8298830750864,2016635.764677386,2016637.282820131,1.518142744898796,2016648.199616318,2016648.209702173,0.010085854912176728,8.487515894928947,28.92780285095796
6,2.449565839290541,0.5371734150042241,0.4628265849957759,1.3158416471693883,1.1337241921211525,587,2180,254,24,6,1.0,1.0,event,True,2016629.599825984,2016648.382736055,18.78291007084772,2016629.599825984,2016630.916736803,1.3169108189176768,2016637.136524908,2016638.314119935,1.1775950270239264,2016648.37246163,2016648.382736055,0.010274424916133285,10.317926662042737,29.100836732890457
7,2.8179937257741066,0.605603138949892,0.39439686105010796,1.7065858458699001,1.1114078799042064,668,2159,110,23,5,1.0,1.0,event,True,2016630.917574657,2016648.331347404,17.413772747153416,2016630.917574657,2016632.624305421,1.7067307641264051,2016637.317061701,2016638.479333012,1.162271310808137,2016648.321275923,2016648.331347404,0.010071481112390757,11.635675334837288,29.049448081990704
8,2.736352883944966,0.5423261409952884,0.4576738590047116,1.4839956999512016,1.2523571839937642,623,2291,217,26,6,1.0,1.0,event,True,2016632.624872508,2016648.362046978,15.737174469977617,2016632.624872508,2016634.142055217,1.5171827089507133,2016638.37467484,2016639.632764614,1.2580897740554065,2016648.35198962,2016648.362046978,0.010057358071208,13.342973185935989,29.080147655913606
9,3.2896122268272086,0.47327329227603104,0.526726707723969,1.556885608901999,1.7327266179252099,638,2695,407,36,9,1.0,1.0,event,True,2016634.14257595,2016648.393080746,14.250504796160385,2016634.14257595,2016635.717259623,1.5746836732141674,2016638.620632672,2016640.356902444,1.736269772052765,2016648.382783212,2016648.393080746,0.010297534056007862,14.860676627838984,29.11118142399937
10,2.7144843963758634,0.4437391118326196,0.5562608881673804,1.2045228951313303,1.509961501244533,561,2516,348,32,8,1.0,1.0,event,True,2016635.71781833,2016648.278028917,12.560210586991161,2016635.71781833,2016636.968148373,1.2503300430253148,2016639.799577463,2016641.310651876,1.5110744130797684,2016648.267345827,2016648.278028917,0.010683089960366488,16.43591900798492,28.996129594976082
11,2.9916741855881384,0.6965756305517028,0.3034243694482972,2.083927332231309,0.9077468533568289,739,1951,221,19,4,1.0,1.0,event,True,2016636.968692075,2016648.290090408,11.321398332947865,2016636.968692075,2016639.05300684,2.084314764942974,2016640.457671903,2016641.433901091,0.9762291880324483,2016648.278108036,2016648.290090408,0.011982372030615807,17.686792752938345,29.00819108588621
12,2.01915578590377,0.2682801660282266,0.7317198339717734,0.5416994494791177,1.4774563364246522,376,2489,373,31,7,1.0,1.0,event,True,2016639.053583799,2016648.267231459,9.213647660100833,2016639.053583799,2016639.598126025,0.5445422260090709,2016641.439793457,2016643.240909188,1.8011157310102135,2016648.25716683,2016648.267231459,0.010064629139378667,19.771684476872906,28.98533213697374
13,2.807855397952475,0.3245354228503749,0.675464577149625,0.9112485388772141,1.8966068590752607,488,2820,230,40,10,1.0,1.0,event,True,2016639.59868757,2016648.231038814,8.63235124386847,2016639.59868757,2016640.535070913,0.9363833428360522,2016641.471560292,2016643.374599054,1.9030387620441616,2016648.220122338,2016648.231038814,0.010916475905105472,20.316788248019293,28.949139491887763
14,2.9711183619952024,0.43047741120782756,0.5695225887921724,1.278999340863736,1.6921190211314665,579,2664,287,36,9,1.0,1.0,event,True,2016640.535608591,2016648.242037563,7.706428971840069,2016640.535608591,2016641.842237704,1.3066291129216552,2016643.291559684,2016645.114001514,1.8224418298341334,2016648.231128857,2016648.242037563,0.010908705880865455,21.25370926898904,28.96013824082911
15,3.1328514717221068,0.5640089657064203,0.43599103429357966,1.7669563182778223,1.3658951534442845,680,2393,220,29,7,1.0,1.0,event,True,2016641.843058801,2016648.34171062,6.498651819070801,2016641.843058801,2016643.610111433,1.7670526320580393,2016643.637612077,2016645.078404147,1.4407920700032264,2016648.331453983,2016648.34171062,0.010256637120619416,22.561159478966147,29.059811298036948
16,2.631398992149969,0.2135068651707329,0.7864931348292671,0.5618217498273659,2.069577242322603,383,2946,180,44,11,1.0,1.0,event,True,2016643.610711818,2016648.310934019,4.700222200946882,2016643.610711818,2016644.17263098,0.5619191618170589,2016645.092115717,2016647.167946709,2.0758309920784086,2016648.300836543,2016648.310934019,0.01009747595526278,24.328812496038154,29.029034696985036
17,2.61473158554059,0.4152431516108414,0.5847568483891585,1.085749384196287,1.528982201344303,533,2532,148,32,8,1.0,1.0,event,True,2016644.173182685,2016648.300708501,4.127525815973058,2016644.173182685,2016645.266212944,1.093030259013176,2016645.300891999,2016646.83114894,1.5302569409832358,2016648.290212132,2016648.300708501,0.010496368864551187,24.891283362871036,29.018809178844094
18,2.374858849814007,0.32050045046526876,0.6794995495347312,0.7611433311568192,1.6137155186571877,446,2601,270,34,8,1.0,1.0,event,True,2016645.26676925,2016648.519004041,3.2522347911726683,2016645.26676925,2016646.031110594,0.7643413441255689,2016646.893621162,2016648.508171763,1.6145506009925157,2016648.508785149,2016648.519004041,0.010218892013654113,25.984869927866384,29.237104719039053
19,3.838672799973599,0.5642786969625665,0.4357213030374335,2.166081285634749,1.67259151433885,753,2648,196,35,8,1.0,1.0,event,True,2016646.031663765,2016649.918358386,3.886694621061906,2016646.031663765,2016648.198188615,2.1665248500648886,2016648.233572998,2016649.907511893,1.6739388948772103,2016649.908287651,2016649.918358386,0.01007073512300849,26.74976444290951,30.636459063971415
